Company Name,GPM PROPERTY MANAGEMENT
Phone Number,734-287-6619
Source,Purchase Details
Date Range,2024-08-21 to 2026-09-21
Export Date,September-21-2026 13:01:39


Date,Store Number,Transaction Id,Register Number,Job Name,SKU Number,SKU Description,Quantity,Original Unit Price,Department Name,Class Name,Subclass Name,Program Discount Amount,Program Discount Indicator,Other Discount Amount,Extended Retail (before discount),Net Unit Price,Company Name
2024-09-20,2789,2811,97,113080 edgewood,1004365792,"DIABLO 6-1/2"" 32T WOOD & METAL CSB",1,$24.97,HARDWARE,POWER TOOL ACCESSORIES,CIRCULAR SAW BLADES,$0.000000,,$-2.25,$22.72,$22.72,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,161713,2 in. x 6 in. x 8 ft,3,$4.86,LUMBER,DIMENSIONAL LUMBER,WHITEWOOD,$0.000000,,$-0.45,$14.13,$14.13,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,405663,"3/8""ODX7/8""BCX20"" BRAID TLT SUP LINE",1,$6.21,PLUMBING,PIPE AND FITTINGS,VALVE & SUPPLY LINES,$0.000000,,$-0.37,$5.84,$5.84,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,161640,2 in. x 4 in. x 96 i,1,$3.55,LUMBER,DIMENSIONAL LUMBER,AVAILABLE,$0.000000,,$0.00,$3.55,$3.55,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,1003531638,TM ALBERTA SPRUCE 24SF/CA,2,$47.76,WALL&FLOOR COVER.,VINYL PLANK,VNYL GSP/TL,$0.000000,,$-4.78,$90.74,$90.74,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,1006147784,"1/2"" CTS STEEL ONE-PIECE FLANGE - CH",1,$2.67,PLUMBING,PIPE AND FITTINGS,TUBULAR REPAIR & REPLACE,$0.000000,,$-0.13,$2.54,$2.54,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,1000024073,1/4TURN ANG VLV 1/2NOMPCX3/8ODC,1,$11.44,PLUMBING,PIPE AND FITTINGS,VALVE & SUPPLY LINES,$0.000000,,$-0.69,$10.75,$10.75,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,515327,"PA 2-1/2"" 16GA GLV ANGLED FIN 2M",1,$43.58,HARDWARE,PNEUMATIC FASTENERS,FINISH NAILS/STAPLES,$0.000000,,$-6.54,$37.04,$37.04,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,454532,12mm - Sande Plywood,2,$45.55,LUMBER,PLYWOOD,HARDWOOD,$0.000000,,$-2.74,$88.36,$88.36,GPM PROPERTY MANAGEMENT
2024-09-20,2789,2811,97,113080 edgewood,805108,STANDARD DUTY PNEUMATIC DOOR CLOSER,1,$15.93,HARDWARE,BUILDER'S HARDWARE,SCREEN/STORM HARDWARE,$0.000000,,$-1.59,$14.34,$14.34,GPM PROPERTY MANAGEMENT
2024-09-20,2702,7338,19,113200,1006965129,SINGLE LEVER SHOWER CARTRIDGE FOR DE,1,$-34.98,PLUMBING,PLUMBING REPAIR & REPLAC,FAUCET REPAIR & REPLACE,$0.000000,,$1.75,$-33.23,$-33.23,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,586438,"BRACKET, HANDRAIL_WH",1,$3.93,HARDWARE,BUILDER'S HARDWARE,HOBBY/HANDRAIL,$0.000000,,$-0.47,$3.46,$3.46,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,161640,2X4-96 KD-HT,1,$3.55,LUMBER,DIMENSIONAL LUMBER,AVAILABLE,$0.000000,,$0.00,$3.55,$3.55,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,161640,2X4-96 KD-HT,1,$3.55,LUMBER,DIMENSIONAL LUMBER,AVAILABLE,$0.000000,,$0.00,$3.55,$3.55,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,1001287221,BEST TRYLON 2.0 SHRT CUT ALL PAINT,1,$7.97,PAINT,APPLICATORS,BEST/PRO BRUSHES,$0.000000,,$-0.72,$7.25,$7.25,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,586438,"BRACKET, HANDRAIL_WH",1,$3.93,HARDWARE,BUILDER'S HARDWARE,HOBBY/HANDRAIL,$0.000000,,$-0.47,$3.46,$3.46,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,586438,"BRACKET, HANDRAIL_WH",1,$3.93,HARDWARE,BUILDER'S HARDWARE,HOBBY/HANDRAIL,$0.000000,,$-0.47,$3.46,$3.46,GPM PROPERTY MANAGEMENT
2024-09-20,2718,9950,4,Rosedale,161640,2X4-96 KD-HT,1,$3.55,LUMBER,DIMENSIONAL LUMBER,AVAILABLE,$0.000000,,$0.00,$3.55,$3.55,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7976,1,personxl,1011553602,DUAL RANGE VOLTAGE DETECTOR,1,$27.97,ELECTRICAL,TOOLS & ACCESSORIES,ELECTRIC TESTERS,$0.000000,,$0.00,$27.97,$27.97,GPM PROPERTY MANAGEMENT
